session_id,participant_count,timestamp_sec,frame_rate_fps,frame_time_ms,network_latency_ms,packet_loss_pct,calibration_error_mm,headset_temp_c
demo,3,0,91.0,10.99,38.9,0.091,4.77,31.9
demo,3,1,93.2,10.73,29.2,0.35,4.53,32.3
demo,3,2,89.1,11.23,28.8,0.074,3.28,31.7
demo,3,3,88.0,11.37,32.4,0.046,6.47,31.9
demo,3,4,90.1,11.1,29.7,0.005,3.86,32.2
demo,3,5,88.8,11.26,23.5,0.115,3.99,32.0
demo,3,6,88.9,11.25,25.0,0.24,5.83,31.4
demo,3,7,90.4,11.06,15.2,0.079,5.23,32.5
demo,3,8,88.0,11.37,17.1,0.032,4.56,32.6
demo,3,9,90.7,11.03,16.2,0.015,5.6,32.5
demo,3,10,91.8,10.9,28.8,0.008,4.18,31.9
demo,3,11,90.6,11.03,29.9,0.04,4.84,31.9
demo,3,12,92.3,10.83,20.5,0.101,4.95,32.6
demo,3,13,90.7,11.03,21.8,0.143,6.52,32.3
demo,3,14,96.7,10.34,20.4,0.056,5.12,31.9
demo,3,15,90.1,11.1,15.1,0.238,4.5,31.4
demo,3,16,88.4,11.32,28.7,0.008,4.22,31.9
demo,3,17,91.8,10.9,26.6,0.163,6.41,32.2
demo,3,18,89.3,11.2,28.4,0.012,4.64,31.4
demo,3,19,90.5,11.05,26.3,0.001,2.38,32.3
demo,3,20,89.1,11.22,23.6,0.041,4.88,32.3
demo,3,21,93.7,10.67,25.9,0.045,5.02,31.3
demo,3,22,87.8,11.39,20.0,0.004,5.1,33.4
demo,3,23,89.5,11.17,26.5,0.016,5.39,32.1
demo,3,24,91.4,10.94,19.3,0.143,5.84,31.7
demo,3,25,92.7,10.79,18.0,0.1,4.17,32.2
demo,3,26,88.9,11.25,29.6,0.021,5.15,31.9
demo,3,27,86.8,11.52,25.3,0.104,5.59,31.7
demo,3,28,91.1,10.97,24.2,0.015,4.27,32.0
demo,3,29,91.5,10.93,18.8,0.17,6.42,33.5
demo,3,30,89.2,11.21,24.0,0.228,5.32,32.6
demo,3,31,87.4,11.44,18.4,0.129,5.68,32.8
demo,3,32,90.3,11.07,29.2,0.001,5.36,31.9
demo,3,33,93.6,10.68,27.4,0.106,5.8,31.7
demo,3,34,88.4,11.32,19.3,0.137,6.03,32.4
demo,3,35,91.5,10.93,34.5,0.01,3.7,31.8
demo,3,36,91.6,10.91,23.8,0.1,5.09,33.0
demo,3,37,89.3,11.19,38.6,0.022,4.11,32.7
demo,3,38,89.9,11.12,24.3,0.019,4.85,32.6
demo,3,39,90.8,11.01,24.6,0.331,4.63,32.6
demo,3,40,91.9,10.88,23.3,0.038,5.29,31.6
demo,3,41,90.2,11.09,26.9,0.084,5.31,31.9
demo,3,42,92.0,10.88,25.3,0.135,6.17,32.8
demo,3,43,87.1,11.48,20.3,0.166,5.39,32.4
demo,3,44,89.9,11.13,29.4,0.07,5.66,32.9
demo,3,45,91.7,10.9,28.3,0.221,3.94,31.5
demo,3,46,90.2,11.09,20.7,0.004,7.41,31.4
demo,3,47,91.2,10.97,16.9,0.003,4.2,32.1
demo,3,48,92.9,10.76,25.6,0.024,4.37,32.4
demo,3,49,89.9,11.12,21.7,0.078,6.46,32.7
demo,3,50,89.8,11.13,27.2,0.039,4.44,32.8
demo,3,51,88.2,11.33,24.4,0.003,4.33,33.2
demo,3,52,89.1,11.22,23.4,0.029,6.87,32.5
demo,3,53,87.3,11.46,29.6,0.31,5.48,33.2
demo,3,54,87.1,11.47,34.2,0.028,6.37,32.0
demo,3,55,90.7,11.03,28.9,0.064,5.09,31.9
demo,3,56,87.2,11.47,24.5,0.057,6.74,31.7
demo,3,57,88.9,11.25,25.7,0.047,5.17,33.6
demo,3,58,90.6,11.04,29.5,0.018,5.32,32.1
demo,3,59,89.9,11.12,23.1,0.282,3.22,33.0
demo,3,60,88.5,11.29,35.6,0.079,4.97,32.7
demo,3,61,90.3,11.07,21.9,0.007,6.01,32.2
demo,3,62,88.5,11.3,23.2,0.119,6.02,32.6
demo,3,63,91.4,10.94,28.1,0.033,5.68,32.1
demo,3,64,86.2,11.6,18.9,0.15,5.68,32.3
demo,3,65,89.3,11.2,30.5,0.139,4.72,32.6
demo,3,66,89.8,11.14,29.7,0.175,5.81,32.3
demo,3,67,90.4,11.06,24.3,0.301,7.05,33.0
demo,3,68,86.2,11.6,22.8,0.04,6.29,32.8
demo,3,69,91.0,10.99,28.1,0.01,4.44,32.5
demo,3,70,85.6,11.69,33.9,0.219,4.31,32.3
demo,3,71,90.6,11.04,22.2,0.096,4.71,32.6
demo,3,72,90.8,11.01,29.4,0.008,3.7,31.8
demo,3,73,88.3,11.33,23.9,0.15,3.11,33.3
demo,3,74,89.1,11.22,25.0,0.063,5.47,32.1
demo,3,75,90.8,11.02,32.7,0.327,3.7,32.1
demo,3,76,89.0,11.23,27.3,0.33,5.38,32.5
demo,3,77,89.9,11.12,21.1,0.348,7.43,32.7
demo,3,78,88.8,11.26,34.3,0.099,6.03,32.6
demo,3,79,94.1,10.63,21.0,0.032,5.0,31.8
demo,3,80,91.8,10.9,15.9,0.008,5.5,33.5
demo,3,81,91.6,10.92,22.1,0.115,5.9,33.3
demo,3,82,91.1,10.98,24.3,0.201,6.34,32.3
demo,3,83,86.3,11.59,31.8,0.35,5.44,32.7
demo,3,84,85.0,11.76,20.5,0.032,5.17,32.6
demo,3,85,88.8,11.26,28.1,0.06,3.8,32.8
demo,3,86,91.8,10.89,32.7,0.044,5.5,32.2
demo,3,87,92.8,10.78,25.6,0.073,5.34,33.2
demo,3,88,91.7,10.9,25.8,0.052,5.82,33.3
demo,3,89,87.7,11.4,28.4,0.015,3.45,33.3
demo,3,90,91.4,10.94,24.3,0.043,6.68,32.6
demo,3,91,92.9,10.76,18.1,0.198,5.17,33.0
demo,3,92,89.1,11.22,16.7,0.391,3.12,32.6
demo,3,93,87.1,11.49,28.3,0.008,4.08,32.9
demo,3,94,91.1,10.97,23.5,0.064,4.2,32.9
demo,3,95,88.6,11.29,21.0,0.019,3.76,32.5
demo,3,96,89.8,11.14,15.0,0.117,4.49,32.7
demo,3,97,89.4,11.18,23.9,0.164,4.46,32.9
demo,3,98,88.5,11.29,18.9,0.066,3.68,33.3
demo,3,99,92.9,10.76,23.8,0.004,6.05,32.2
demo,3,100,89.7,11.15,29.8,0.076,5.07,32.2
demo,3,101,86.4,11.57,26.0,0.031,5.02,32.6
demo,3,102,87.5,11.43,21.7,0.04,6.89,33.1
demo,3,103,89.6,11.16,32.4,0.009,7.58,33.2
demo,3,104,88.7,11.27,32.9,0.014,4.33,32.0
demo,3,105,91.5,10.93,34.5,0.044,5.24,32.8
demo,3,106,88.9,11.25,23.8,0.017,4.56,32.5
demo,3,107,88.4,11.31,20.7,0.019,2.71,33.1
demo,3,108,90.4,11.07,24.6,0.201,4.64,33.1
demo,3,109,90.6,11.04,20.1,0.265,7.26,33.5
demo,3,110,91.4,10.94,21.2,0.021,4.46,31.8
demo,3,111,86.3,11.58,25.2,0.012,3.7,33.1
demo,3,112,87.3,11.45,26.3,0.066,4.57,32.8
demo,3,113,87.9,11.38,23.1,0.007,4.62,33.1
demo,3,114,91.8,10.9,28.9,0.091,2.76,32.4
demo,3,115,90.7,11.02,24.0,0.178,5.4,32.8
demo,3,116,90.5,11.05,32.9,0.184,5.57,32.6
demo,3,117,88.6,11.29,22.8,0.018,5.78,33.3
demo,3,118,85.2,11.74,26.8,0.21,6.44,32.6
demo,3,119,85.5,11.7,20.0,0.062,6.29,32.4
demo,3,120,86.4,11.57,43.1,0.048,6.13,32.8
demo,3,121,87.8,11.39,45.2,0.099,4.37,32.6
demo,3,122,90.6,11.04,41.9,0.224,4.76,33.0
demo,3,123,87.4,11.45,35.8,0.003,6.76,33.0
