session_id,headset_id,participant_count,timestamp_sec,frame_rate_fps,network_latency_ms,calibration_error_mm,battery_temp_c,battery_level,scene_state
20251207_215648,H_4193,0,1.02,69.5,0.0,0.00,48.0,51,NotConnected
20251207_215648,H_4193,1,2.04,41.5,71.2,0.00,48.0,51,Host
20251207_215648,H_4193,1,3.06,66.2,103.0,0.00,48.0,51,Host
20251207_215648,H_4193,1,4.11,65.2,84.1,0.00,48.0,51,Host
20251207_215648,H_4193,1,5.12,72.3,55.2,0.00,48.0,51,Host
20251207_215648,H_4193,1,6.12,72.1,41.6,0.00,48.0,51,Host
20251207_215648,H_4193,1,7.13,72.4,68.6,0.00,48.0,51,Host
20251207_215648,H_4193,1,8.14,72.4,57.3,0.00,48.0,51,Host
20251207_215648,H_4193,1,9.15,73.3,63.7,0.00,48.0,51,Host
20251207_215648,H_4193,1,10.16,64.9,97.1,0.00,48.0,51,Host
20251207_215648,H_4193,1,11.17,63.2,40.7,0.00,48.0,51,Host
20251207_215648,H_4193,1,12.17,71.3,43.8,0.00,48.0,51,Host
20251207_215648,H_4193,1,13.18,73.0,54.9,0.00,48.0,51,Host
20251207_215648,H_4193,1,14.19,73.1,41.7,0.00,48.0,51,Host
20251207_215648,H_4193,1,15.20,70.1,43.2,0.00,48.0,51,Host
20251207_215648,H_4193,1,16.20,72.6,41.3,0.00,48.0,51,Host
20251207_215648,H_4193,1,17.22,71.8,83.2,0.00,48.0,51,Host
20251207_215648,H_4193,1,18.23,71.9,69.3,0.00,48.0,51,Host
20251207_215648,H_4193,1,19.23,72.1,500.2,0.00,48.0,51,Host
20251207_215648,H_4193,2,20.23,72.7,41.2,0.00,48.0,51,Host
20251207_215648,H_4193,2,21.25,72.2,69.3,0.00,48.0,51,Host
20251207_215648,H_4193,2,22.25,73.1,55.6,0.00,48.0,51,Host
20251207_215648,H_4193,2,23.25,72.4,69.2,0.00,50.0,51,Host
20251207_215648,H_4193,2,24.26,71.1,69.3,0.00,50.0,51,Host
20251207_215648,H_4193,2,25.26,72.5,56.0,0.00,50.0,51,Host
20251207_215648,H_4193,2,26.26,72.4,55.5,0.00,50.0,51,Host
20251207_215648,H_4193,2,27.27,72.3,41.7,0.00,50.0,51,Host
20251207_215648,H_4193,2,28.27,72.5,68.2,0.00,50.0,51,Host
20251207_215648,H_4193,2,29.29,72.4,68.4,0.00,50.0,51,Host
20251207_215648,H_4193,2,30.29,72.6,41.8,0.00,50.0,51,Host
20251207_215648,H_4193,2,31.29,71.0,55.4,0.00,50.0,51,Host
20251207_215648,H_4193,2,32.30,72.2,41.6,0.00,50.0,51,Host
20251207_215648,H_4193,2,33.30,72.4,56.5,0.00,50.0,51,Host
20251207_215648,H_4193,2,34.32,72.5,69.6,0.00,50.0,51,Host
20251207_215648,H_4193,2,35.33,72.0,41.2,0.00,50.0,51,Host
20251207_215648,H_4193,2,36.34,72.3,55.6,0.00,50.0,51,Host
20251207_215648,H_4193,2,37.34,70.8,82.9,0.00,50.0,51,Host
20251207_215648,H_4193,2,38.36,72.5,111.3,0.00,50.0,51,Host
20251207_215648,H_4193,2,39.37,72.5,83.4,0.00,50.0,51,Host
20251207_215648,H_4193,2,40.39,72.2,54.6,0.00,50.0,51,Host
20251207_215648,H_4193,2,41.39,71.3,55.6,0.00,50.0,51,Host
20251207_215648,H_4193,2,42.40,68.1,83.2,0.00,50.0,51,Host
20251207_215648,H_4193,2,43.40,72.2,55.0,0.00,50.0,51,Host
20251207_215648,H_4193,2,44.41,71.2,69.0,0.00,50.0,51,Host
20251207_215648,H_4193,2,45.41,71.9,84.8,0.00,50.0,51,Host
20251207_215648,H_4193,2,46.42,69.9,54.5,0.00,50.0,51,Host
20251207_215648,H_4193,2,47.44,62.6,77.4,0.00,50.0,51,Host
20251207_215648,H_4193,2,48.45,70.5,41.3,0.00,50.0,51,Host
20251207_215648,H_4193,2,49.45,65.1,54.0,0.00,50.0,51,Host
20251207_215648,H_4193,2,50.47,71.7,125.3,0.00,50.0,51,Host
20251207_215648,H_4193,2,51.47,71.2,42.5,0.00,50.0,51,Host
20251207_215648,H_4193,2,52.48,69.4,72.1,0.00,50.0,51,Host
20251207_215648,H_4193,2,53.48,71.3,40.3,0.00,50.0,51,Host
20251207_215648,H_4193,2,54.49,69.5,43.0,0.00,50.0,51,Host
20251207_215648,H_4193,2,55.51,71.3,84.3,0.00,50.0,51,Host
20251207_215648,H_4193,2,56.51,70.8,70.2,0.00,50.0,51,Host
20251207_215648,H_4193,2,57.52,69.6,42.5,0.00,50.0,51,Host
20251207_215648,H_4193,2,58.53,69.2,74.7,0.00,50.0,51,Host
20251207_215648,H_4193,2,59.54,69.3,42.6,0.00,50.0,51,Host
20251207_215648,H_4193,2,60.55,70.9,56.1,0.00,50.0,50,Host
20251207_215648,H_4193,2,61.56,70.7,56.6,0.00,50.0,50,Host
20251207_215648,H_4193,2,62.57,70.0,56.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,63.58,69.9,55.9,0.00,50.0,50,Host
20251207_215648,H_4193,2,64.59,69.4,64.2,0.00,50.0,50,Host
20251207_215648,H_4193,2,65.59,69.8,55.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,66.61,70.9,42.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,67.62,72.0,54.6,0.00,50.0,50,Host
20251207_215648,H_4193,2,68.62,70.0,55.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,69.62,56.2,42.6,0.00,50.0,50,Host
20251207_215648,H_4193,2,70.63,54.9,65.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,71.63,65.6,64.5,0.00,50.0,50,Host
20251207_215648,H_4193,2,72.63,62.4,68.6,0.00,50.0,50,Host
20251207_215648,H_4193,2,73.64,65.5,46.0,0.00,50.0,50,Host
20251207_215648,H_4193,2,74.65,66.4,55.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,75.67,62.1,69.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,76.68,58.8,68.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,77.69,64.9,64.6,0.00,50.0,50,Host
20251207_215648,H_4193,2,78.70,73.3,40.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,79.70,72.7,55.1,0.00,50.0,50,Host
20251207_215648,H_4193,2,80.71,72.8,39.9,0.00,50.0,50,Host
20251207_215648,H_4193,2,81.71,72.5,69.9,0.00,50.0,50,Host
20251207_215648,H_4193,2,82.71,71.1,69.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,83.71,72.9,55.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,84.71,73.0,69.2,0.00,50.0,50,Host
20251207_215648,H_4193,2,85.73,72.0,69.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,86.73,72.3,70.0,0.00,50.0,50,Host
20251207_215648,H_4193,2,87.73,72.0,69.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,88.73,72.3,55.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,89.75,72.3,55.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,90.76,71.3,55.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,91.77,69.4,63.1,0.00,50.0,50,Host
20251207_215648,H_4193,2,92.77,66.6,61.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,93.78,63.4,86.2,0.00,50.0,50,Host
20251207_215648,H_4193,2,94.79,59.8,63.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,95.80,66.3,42.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,96.81,67.7,56.6,0.00,50.0,50,Host
20251207_215648,H_4193,2,97.82,69.5,70.0,0.00,50.0,50,Host
20251207_215648,H_4193,2,98.83,71.4,67.5,0.00,50.0,50,Host
20251207_215648,H_4193,2,99.83,72.1,76.0,0.00,50.0,50,Host
20251207_215648,H_4193,2,100.83,72.4,53.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,101.84,72.8,68.2,0.00,50.0,50,Host
20251207_215648,H_4193,2,102.84,72.1,68.0,0.00,50.0,50,Host
20251207_215648,H_4193,2,103.84,72.6,54.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,104.84,71.9,95.9,0.00,50.0,50,Host
20251207_215648,H_4193,2,105.86,72.7,69.5,0.00,50.0,50,Host
20251207_215648,H_4193,2,106.86,71.3,68.3,0.00,50.0,50,Host
20251207_215648,H_4193,2,107.86,71.7,67.7,0.00,50.0,50,Host
20251207_215648,H_4193,2,108.87,59.2,59.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,109.87,72.2,68.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,110.88,71.8,74.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,111.89,66.5,40.5,0.00,50.0,50,Host
20251207_215648,H_4193,2,112.90,69.2,49.2,0.00,50.0,50,Host
20251207_215648,H_4193,2,113.91,64.2,41.5,0.00,50.0,50,Host
20251207_215648,H_4193,2,114.91,72.0,40.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,115.91,72.3,40.5,0.00,50.0,50,Host
20251207_215648,H_4193,2,116.91,72.1,42.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,117.91,72.8,55.1,0.00,50.0,50,Host
20251207_215648,H_4193,2,118.92,71.3,55.8,0.00,50.0,50,Host
20251207_215648,H_4193,2,119.93,72.4,68.5,0.00,50.0,50,Host
20251207_215648,H_4193,2,120.93,72.4,40.2,0.00,50.0,50,Host
20251207_215648,H_4193,2,121.94,72.4,41.4,0.00,50.0,50,Host
20251207_215648,H_4193,2,122.94,72.1,54.0,0.00,50.0,50,Host
20251207_215648,H_4193,2,123.95,72.6,55.5,0.00,50.0,50,Host
20251207_215648,H_4193,2,124.96,72.1,41.2,0.00,50.0,50,Host
20251207_215648,H_4193,2,125.97,72.3,67.6,0.00,50.0,50,Host
20251207_215648,H_4193,2,126.98,71.4,70.1,0.00,50.0,50,Host
20251207_215648,H_4193,2,128.00,72.3,41.6,0.00,49.0,49,Host
20251207_215648,H_4193,2,129.01,73.0,41.8,0.00,49.0,49,Host
20251207_215648,H_4193,2,130.02,72.6,56.4,0.00,49.0,49,Host
20251207_215648,H_4193,2,131.03,72.4,54.9,0.00,49.0,49,Host
20251207_215648,H_4193,2,132.04,72.0,69.4,0.00,49.0,49,Host
20251207_215648,H_4193,2,133.05,72.4,70.3,0.00,49.0,49,Host
20251207_215648,H_4193,2,134.06,72.3,58.2,0.00,50.0,49,Host
20251207_215648,H_4193,2,135.06,71.8,69.5,0.00,50.0,49,Host
20251207_215648,H_4193,2,136.07,71.0,40.1,0.00,50.0,49,Host
20251207_215648,H_4193,1,137.07,72.0,41.6,0.00,50.0,49,Host
20251207_215648,H_4193,1,138.07,72.0,41.2,0.00,50.0,49,Host
20251207_215648,H_4193,1,139.08,69.8,69.1,0.00,50.0,49,Host
20251207_215648,H_4193,1,140.09,72.3,69.4,0.00,50.0,49,Host
20251207_215648,H_4193,1,141.09,72.2,68.8,0.00,50.0,49,Host
20251207_215648,H_4193,1,142.10,72.2,55.8,0.00,50.0,49,Host
20251207_215648,H_4193,1,143.11,72.2,41.9,0.00,50.0,49,Host
20251207_215648,H_4193,1,144.11,72.1,41.7,0.00,50.0,49,Host
20251207_215648,H_4193,1,145.12,72.3,41.0,0.00,50.0,49,Host
20251207_215648,H_4193,1,146.12,71.4,41.8,0.00,50.0,49,Host
20251207_215648,H_4193,1,147.14,69.8,54.4,0.00,50.0,49,Host
20251207_215648,H_4193,1,148.14,71.5,55.3,0.00,50.0,49,Host
20251207_215648,H_4193,1,149.14,72.4,41.7,0.00,50.0,49,Host
20251207_215648,H_4193,1,150.15,70.8,54.5,0.00,50.0,49,Host
20251207_215648,H_4193,1,151.15,72.9,54.7,0.00,50.0,49,Host
20251207_215648,H_4193,1,152.17,72.6,41.4,0.00,50.0,49,Host
20251207_215648,H_4193,1,153.18,72.4,41.3,0.00,49.0,49,Host
20251207_215648,H_4193,1,154.19,72.9,68.8,0.00,49.0,49,Host
20251207_215648,H_4193,1,155.19,72.4,69.6,0.00,49.0,49,Host
20251207_215648,H_4193,1,156.19,71.1,41.3,0.00,49.0,49,Host
20251207_215648,H_4193,1,157.21,69.8,55.1,0.00,49.0,49,Host
20251207_215648,H_4193,1,158.22,72.4,54.5,0.00,49.0,49,Host
20251207_215648,H_4193,1,159.23,72.5,68.6,0.00,49.0,49,Host
20251207_215648,H_4193,1,160.23,72.1,68.6,0.00,49.0,49,Host
20251207_215648,H_4193,1,161.23,72.1,55.5,0.00,49.0,49,Host
20251207_215648,H_4193,1,162.25,69.7,55.7,0.00,49.0,49,Host
20251207_215648,H_4193,1,163.25,72.5,54.9,0.00,49.0,49,Host
20251207_215648,H_4193,1,164.25,72.3,68.7,0.00,49.0,49,Host
20251207_215648,H_4193,1,165.26,72.4,40.8,0.00,49.0,49,Host
20251207_215648,H_4193,1,166.26,72.2,68.9,0.00,49.0,49,Host
20251207_215648,H_4193,1,167.27,70.8,54.8,0.00,49.0,49,Host
20251207_215648,H_4193,1,168.29,72.2,69.2,0.00,49.0,49,Host
20251207_215648,H_4193,1,169.29,72.2,54.4,0.00,49.0,49,Host
20251207_215648,H_4193,1,170.30,71.1,41.2,0.00,49.0,49,Host
20251207_215648,H_4193,1,171.30,72.4,41.2,0.00,49.0,49,Host
20251207_215648,H_4193,1,172.32,71.3,41.9,0.00,49.0,49,Host
20251207_215648,H_4193,1,173.33,72.1,54.8,0.00,48.0,49,Host
20251207_215648,H_4193,1,174.34,72.3,55.4,0.00,48.0,49,Host
20251207_215648,H_4193,1,175.36,72.1,68.4,0.00,48.0,49,Host
20251207_215648,H_4193,1,176.37,72.7,68.7,0.00,48.0,49,Host
20251207_215648,H_4193,1,177.37,72.5,55.2,0.00,48.0,49,Host
20251207_215648,H_4193,1,178.37,72.3,55.9,0.00,48.0,49,Host
20251207_215648,H_4193,1,179.38,72.1,55.7,0.00,48.0,49,Host
